Rank,Market,State,Counties  (or county-equivalents)  covered,TV households (2019â€“20),Local ABC affiliate,Local CBS affiliate,Local NBC affiliate,Local Fox affiliate,Local CW affiliate,Local MyNetworkTV affiliate,Local PBS member station,Local Ion Television affiliate,Local Telemundo affiliate,Local Univision affiliate,Local Independent stations,Other significant television stations
91,"Charleston, SC",South Carolina,"Berkeley, Charleston, Colleton, Dorchester, Georgetown, Williamsburg","309,250 (0.289%)",WCIV-DT2 36.2,WCSC-TV 5,WCBD-TV 2,WTAT-TV 24,WCBD-DT2 2.2,WCIV 36,WITV 7,WCBD-TV 2.3,,,,
92,Chattanooga,Tennessee,"Tennessee: Bledsoe, Bradley, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie
Georgia: Catoosa, Dade, Fannin, Murray, Walker, Whitfield
North Carolina: Cherokee","305,340 (0.285%)",WTVC 9 (Fox on DT2),WDEF-TV 12,WRCB 3,WTVC-DT2 9.2,WFLI-TV 53,WFLI-TV 53.2,WTCI 45,,,,,WDSI-TV 61 (This TV; Comet on DT2)WELF-TV 23 (TBN)W18DS-D (3ABN)WCNT-LP 36 (3ABN)W21BZ (3ABN)
93,El Paso (Las Cruces),Texas,"Texas: Culberson, El Paso, Hudspeth
New Mexico: DoÃ±a Ana","295,070 (0.276%)",KVIA-TV 7,KDBC-TV 4,KTSM-TV 9,KFOX-TV 14,KVIA-DT2 7.2,KDBC-TV 4.2,KCOS 13,KVIA-TV 7.3,KTDO 48,KINT-TV 26,,
94,Baton Rouge,Louisiana,"Louisiana: Ascension, Assumption, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, St. Mary, West Baton Rouge, West Feliciana
Mississippi: Amite, Wilkinson","293,610 (0.274%)",WBRZ-TV 2,WAFB 9,WVLA-TV 33,WGMB-TV 44,WBRL-CD 21/WGMB-DT2 44.2,WBXH-CD 39,WLPB-TV 27,WVLA-TV 33.3,,,KZUP-CD 19,
95,"Jackson, MS",Mississippi,"Adams, Attala, Claiborne, Copiah, Franklin, Hinds, Holmes, Humphreys, Issaquena, Jefferson, Jefferson Davis, Lawrence, Leake, Lincoln, Madison, Pike, Rankin, Scott, Sharkey, Simpson, Smith, Walthall, Warren, Yazoo","284,110 (0.265%)",WAPT 16,WJTV 12,WLBT 3,WDBD 40,WJTV-DT2 12.2,WLOO 35,WMPN-TV 29,WJTV 12.3,,,,WRBJ-TV 34 (TBN)W26BB (3ABN)
96,Burlington-Plattsburgh,Vermont,"Vermont: Addison, Caledonia, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windsor
New York: Clinton, Essex, Franklin
New Hampshire: Grafton, Sullivan","283,080 (0.265%)",WVNY 22,WCAX-TV 3,WPTZ 5,WFFF-TV 44,WNNE 31,WYCI 40,WETK 33,WCAX-TV 3.5,,,,
97,Myrtle Beach-Florence,South Carolina,"South Carolina: Darlington, Dillon, Florence, Horry, Marion, Marlboro
North Carolina: Robeson, Scotland","277,560 (0.259%)",WPDE-TV 15,WBTW 13,WMBF-TV 32,WFXB 43,WWMB 21,WBTW 13.2,WJPM-TV 33,,,,,
98,South Bend-Elkhart,Indiana,"Indiana: Elkhart, Fulton, Kosciusko, LaGrange, Marshall, Pulaski, St. Joseph, Starke
Michigan: Berrien, Cass","277,380 (0.259%)",WBND-LD 57,WSBT-TV 22,WNDU-TV 16,WSBT-DT2 22.2,WCWW-LD 25,WMYS-LD 69,WNIT 34,WHME-TV 46.2,WMYS-LD 69.2,,,WHME-TV 46 (Family)WYGN-LD 10 (3ABN)
99,"Tri-Cities, TN-VA",Tennessee,"Tennessee: Carter, Greene, Hawkins, Johnson, Sullivan, Unicoi, Washington
Virginia: Bristol (city),[3]Buchanan, Dickenson, Lee, Norton (city),[3]Russell, Scott, Smyth, Washington, Wise
Kentucky: Leslie, Letcher","273,310 (0.255%)",WJHL-DT2 11.2,WJHL-TV 11,WCYB-TV 5,WEMT 39,WCYB-DT2 5.2,,WETP-TV 2,WLFG 68.3,,,,
100,Greenville-New Bern-Washington,North Carolina,"Beaufort, Bertie, Carteret, Craven, Duplin, Greene, Hyde, Jones, Lenoir, Martin, Onslow, Pamlico, Pitt, Tyrrell, Washington","265,820 (0.248%)",WCTI-TV 12,WNCT-TV 9,WITN-TV 7,WYDO 14,WNCT-DT2 9.2,WITN-TV 7.2,WUNK-TV 25,WEPX-TV 38,,,,
101,Fort Smith-Fayetteville-Springdale-Rogers,Arkansas,"Arkansas: Benton, Crawford, Franklin, Logan, Madison, Scott, Sebastian, Washington
Oklahoma: Le Flore, Sequoyah","265,520 (0.248%)","KHBS 40/
KHOG-TV 29",KFSM-TV 5,KNWA-TV 51,KFTA-TV 24,"KHBS-DT2 40.2/
KHOG-DT2 29.2",KXNW 34,KAFT 13,,KAJL-LD 16,KWNL-CD 31/KQRY-LD 36,,
102,Boise,Idaho,"Idaho: Ada, Adams, Boise, Camas, Canyon, Elmore, Gem, Owyhee, Payette, Valley, Washington
Oregon: Grant, Malheur","261,140 (0.244%)",KIVI-TV 6,KBOI-TV 2,KTVB 7,KNIN-TV 9,"KYUU-LD 35/
KBOI-DT2 2.2",,KAID 4,KTRV-TV 12,KKJB 39,,,K31FD-D (3ABN)
103,Davenport-Rock Island-Moline,Iowa,"Iowa: Clinton, Des Moines, Henry, Jackson, Louisa, Muscatine, Scott
Illinois: Bureau, Carroll, Henderson, Henry, Jo Daviess, Knox, Mercer, Rock Island, Warren, Whiteside","259,590 (0.243%)",WQAD-TV 8,WHBF-TV 4,KWQC-TV 6,KLJB 18,KGCW 26,WQAD-TV 8.3,KQIN 36WQPT 24,KWQC-TV 6.2,,,,WMWC-TV 53 (TBN)K20KF-D 16 (3ABN)
104,Reno,Nevada,"Nevada: Carson City (city), Churchill, Douglas, Esmeralda, Humboldt, Lander, Lyon, Mineral, Pershing, Storey, Washoe
California: Alpine, El Dorado (east), Lassen, Mono","254,040 (0.237%)",KOLO-TV 8,KTVN 2,KRNV-DT 4,KRXI-TV 11,KOLO-DT3 8.3,KNSN-TV 21,KNPB 5,KTVN 2.3,,KREN-TV 27,,
105,Evansville,Indiana,"Indiana: Dubois, Gibson, Perry, Pike, Posey, Spencer, Vanderburgh, Warrick
Kentucky: Daviess, Hancock, Henderson, Hopkins, McLean, Muhlenberg, Ohio, Union, Webster
Illinois: Edwards, Wabash, Wayne, White","250,120 (0.234%)",WEHT 25,WEVV-TV 44,WFIE 14,WEEV-LD 47/WEVV-DT2 44.2,WTVW 7,WEEV-LD 47/WEVV-DT2 44.2,WNIN 9,,WYYW-CD 15,,,W23BV-D (3ABN)WTSN-CD 20 (H&I)WEIN-LD 40 (Cozi TV)
106,Johnstown-Altoona-State College,Pennsylvania,"Bedford, Blair, Cambria, Cameron, Centre, Clearfield, Elk, Forest, Huntingdon, Jefferson, Somerset","248,880 (0.233%)",WATM-TV 23,WTAJ-TV 10,WJAC-TV 6,WWCP-TV 8,WJAC-DT 6.4,,WPSU-TV 3,,,,,
107,Lincoln & Hastings-Kearney,Nebraska,"Nebraska: Adams, Antelope, Boone, Boyd, Brown, Buffalo, Chase, Clay, Custer, Dawson, Fillmore, Franklin, Frontier, Furnas, Gage, Garfield, Gosper, Greeley, Hall, Hamilton, Harlan, Hayes, Hitchcock, Holt, Howard, Jefferson, Kearney, Keya Paha, Lancaster, Loup, Merrick, Nance, Nuckolls, Perkins, Phelps, Polk, Red Willow, Rock, Saline, Seward, Sherman, Thayer, Valley, Webster, Wheeler, York
Kansas: Jewell, Phillips, Republic, Smith","248,550 (0.232%)","KHGI-TV 13/
KHGI-LD 13/
KWNB-TV 6KLKN 8","KOLN 10/
KGIN 11",KSNB-TV 4KSNK 8,KFXL-TV 51,KNHL-DT3 5.3/KCWH-LD 18,KNHL 5,KUON-TV 12,KCWH-LD 18.2,KFDY-LD 27,,,KFDY-LD 27 (NCN)K26JQ-D (3ABN)
108,Augusta-Aiken,Georgia,"Georgia: Burke, Columbia, Emanuel, Glascock, Jefferson, Jenkins, Lincoln, McDuffie, Richmond, Taliaferro, Warren, Wilkes
South Carolina: Aiken, Allendale, Bamberg, Barnwell, Edgefield, McCormick, Saluda","240,270 (0.225%)",WJBF 6,WRDW-TV 12,WAGT-CD 26,WFXG 54,WAGT-CD2 26.2,WRDW-TV 12.2,WCES-TV 20WEBA-TV 14,WJBF 6.3,,,,
109,Tallahassee-Thomasville,Florida,"Florida: Gadsden, Hamilton, Jefferson, Lafayette, Leon, Madison, Suwannee, Taylor, Wakulla
Georgia: Brooks, Clinch, Decatur, Echols, Grady, Lanier, Lowndes, Miller, Thomas","239,650 (0.224%)",WTXL-TV 27,WCTV 6,WTWC-TV 40,WTWC-DT2 40.2,WTLF 24,WFXU 57,WFSU-TV 11,,,,,WTLH 49 (Heroes & Icons)
110,Fort Wayne,Indiana,"Indiana: Adams, Allen, DeKalb, Huntington, Jay,  Noble, Steuben, Wabash, Wells, Whitley
Ohio: Paulding, Van Wert","238,610 (0.223%)",WPTA 21,WANE-TV 15,WPTA-DT2 21.2,WFFT-TV 55,WISE-TV 33,WPTA-DT3 21.3,WFWA 39,WANE-TV 15.2,,,,WFWC-CD 45 (Cozi TV)W07CL 73 (3ABN)W26DH-D 73 (3ABN)
111,Springfield-Holyoke,Massachusetts,"Franklin, Hampden, Hampshire","231,600 (0.216%)",WGGB-TV 40,WSHM-LD 3.5,WWLP 22/WFXQ-CD 22,WGGB-DT2 40.2,"WWLP-DT2 22.2/
WFXQ-CD2 22.2","WWLP-DT2 22.2/
WFXQ-CD2 22.2",WGBY-TV 57,WWLP 22.3/WFXQ-CD 22.3,WDMR-LD 50,,,
112,Lansing,Michigan,"Clinton, Eaton, Hillsdale, Ingham, Jackson","230,640 (0.216%)",WLAJ 53,WLNS-TV 6,WILX-TV 10,WSYM-TV 47,WLAJ-DT2 53.2,WSYM-TV 47.4,WKAR-TV 23,"WILX-TV 10.4
WZPX-TV 43",,,,
113,Sioux Falls (Mitchell),South Dakota,"South Dakota: Aurora, Beadle, Bon Homme, Brookings, Brown, Brule, Buffalo, Charles Mix, Clark, Clay, Codington, Davison, Day, Deuel, Douglas, Edmunds, Faulk, Grant, Gregory, Hamlin, Hand, Hanson, Hughes, Hutchinson, Hyde, Jerauld, Jones, Kingsbury, Lake, Lincoln, Lyman, Marshall, McCook, McPherson, Mellette, Miner, Minnehaha, Moody, Potter, Roberts, Sanborn, Spink, Stanley, Sully, Todd, Tripp, Turner, Walworth, Yankton
Minnesota: Lincoln, Murray, Nobles, Pipestone, Rock
Iowa: Lyon, Osceola
Nebraska: Cherry","229,420 (0.214%)","KSFY-TV 13/
KPRY-TV 4","KELO-TV 11/
KDLO-TV 3/
KPLO-TV 6","KDLT-TV 46/
KDLV-TV 5","KTTW 7/
KTTM 12","KSFY-DT2 13.2/
KPRY-DT2 4.2","KELO-TV 11.2/
KDLO-TV 3.2/
KPLO-TV 6.2",KCSD-TV 23,KELO-TV 11.3,,,,
114,Tyler-Longview (Lufkin & Nacogdoches),Texas,"Angelina, Cherokee, Franklin, Gregg, Houston, Nacogdoches, Rusk, San Augustine, Smith, Trinity, Upshur, Wood","223,590 (0.209%)",KLTV 7KTRE 9,KYTX 19,KETK-TV 56,"KFXK-TV 51/
KFXL-LD 51",KYTX-DT2 19.2,"KTPN-LD 48/
KLPN-LD 47",,,KLTV 7.3,,,K25LG-D (3ABN)KLGV-LD 36 (TBN)KDKJ-LD 27 (Estrella TV)
115,Youngstown,Ohio,"Ohio: Columbiana, Mahoning, Trumbull
Pennsylvania: Mercer","220,670 (0.206%)",WYTV 33,WKBN-TV 27,WFMJ-TV 21,WYFX-LD 19/WKBN-DT2 27.2,WFMJ-DT2 21.2,WYTV 33.2,WNEO 45,WYFX-LD 19.3,,,,
116,Fargo-Grand Forks,North Dakota,"North Dakota: Barnes, Benson, Cass, Cavalier, Dickey, Eddy, Foster, Grand Forks, Griggs, LaMoure, Nelson, Pembina, Ramsey, Ransom, Richland, Sargent, Steele, Stutsman, Towner, Traill, Walsh
Minnesota: Becker, Clay, Clearwater, Kittson, Lake of the Woods, Mahnomen, Marshall, Norman, Otter Tail, Pennington, Polk, Red Lake, Roseau, Wilkin","218,360 (0.204%)",WDAY-TV 6WDAZ-TV 8,KXJB-LD 30/KVLY-DT2 11.2,KVLY-TV 11,"KVRR 15/
KJRR 7/
KBRR 10/
KNRR 12",KXJB-LD2 30.2,KCPM 27,KFME 13,WDAY-TV 6.4,,,,
117,Eugene,Oregon,"Benton, Coos, Douglas, Lane","218,200 (0.204%)",KEZI 9,"KVAL-TV 13/
KCBY-TV 11/
KPIC 4","KMTR 16/
KMCB 23/
KTCW 46",KLSR-TV 34,"KMTR-DT2 16.2/
KMCB-DT2 23.2/
KTCW-DT2 46.2",KEVU-CD 23,KEPB-TV 28,K14LP-D 14,,,,
118,Yakima-Pasco-Richland-Kennewick,Washington,"Washington: Benton, Franklin, Kittitas, Walla Walla, Yakima
Oregon: Morrow, Umatilla","215,940 (0.202%)",KAPP 35KVEW 42,KEPR-TV 19 KIMA-TV 29,KNDO 23KNDU 25,KCYU-LD 41KFFX-TV 11,KEPR-DT2 19.2/KIMA-DT2 29.2,,KYVE 47KTNW 31,,KFFX-TV 11.2,"KUNW-CD 2/
KVVK-CD 2/
KORX-CD 2",,
119,Macon,Georgia,"Baldwin, Bibb, Bleckley, Crawford, Dodge, Dooly, Hancock, Houston, Johnson, Jones, Laurens, Macon, Monroe, Peach, Pulaski, Telfair, Treutlen, Twiggs, Washington, Wheeler, Wilcox, Wilkinson","211,110 (0.197%)",WGXA-DT2 24.2,WMAZ-TV 13,WMGT-TV 41,WGXA 24,WMAZ-DT2 13.2,WMGT-TV 41.2,WMUM-TV 29,,,,WPGA-TV 58,W36ED-D (3ABN)
120,Peoria-Bloomington,Illinois,"Fulton, Livingston, Marshall, Mason, McLean, Peoria, Putnam, Stark, Tazewell, Woodford","209,320 (0.196%)",WEEK-DT2 25.2,WMBD-TV 31,WEEK-TV 25,WYZZ-TV 43,WEEK-DT3 25.3,WAOE 59,WTVP 47,WEEK-TV 25.4,,,,
121,Traverse City-Cadillac,Michigan,"Antrim, Benzie, Charlevoix, Cheboygan, Chippewa, Clare, Crawford, Emmet, Grand Traverse, Kalkaska, Lake, Leelanau, Luce, Mackinac, Manistee, Mason, Mecosta, Missaukee, Montmorency, Osceola, Oscoda, Otsego, Presque Isle, Roscommon, Wexford","209,210 (0.196%)","WGTU 29/
WGTQ 8","WWTV 9/
WWUP-TV 10","WPBN-TV 7/
WTOM-TV 4","WFQX-TV 32/
WFUP 45",WFQX-DT2 32.2,WXII-LP 12,WCMV-TV 27,WFQX-TV 32.3,,,,W28DY-D (3ABN)
122,Montgomery-Selma,Alabama,"Autauga, Bullock, Butler, Coosa, Covington, Crenshaw, Dallas, Elmore, Lowndes, Macon, Marengo, Montgomery, Perry, Pike, Tallapoosa, Wilcox","207,020 (0.193%)",WNCF 32,WAKA 8,WSFA 12,WCOV-TV 20,WBMM 22,WDSF-LD 19,WAIQ 26,WAKA 8.3,,,,
123,"Lafayette, LA",Louisiana,"Acadia, Evangeline, Iberia, Jefferson Davis, Lafayette, St. Landry, St. Martin, Vermilion","203,470 (0.190%)",KATC 3,KLFY-TV 10,KLAF-LD 46/KADN-DT 15.2,KADN-TV 15,KATC-DT2 3.2,KADN-TV 15.3,KLPB-TV 24,KLFY-TV 10.3,,,,KLWB 50 (MeTV)
124,Monterey-Salinas,California,"Monterey, San Benito, Santa Cruz","202,080 (0.189%)",KSBW-DT2 8.2,KION-TV 46,KSBW 8,KCBA 35,KION-DT2 46.2,KAAP-LD 2,KQET 25,,KMUV-LD 23,KSMS-TV 67,,KDJT-CD 33 (UniMÃ¡s)KLFB-LD 22 (3ABN)KMBY-LD 19 (H&I)KYMB-LD 27 (MeTV)
125,Bakersfield,California,Kern (except Los Angeles and San Bernardino County border communities),"200,460 (0.187%)",KERO-TV 23,KBAK-TV 29,KGET-TV 17,KBFX-CD 58/KBAK-DT 58.2,KGET-DT2 17.2,,K18HD 18,,KKEY-LP 13,KABE-CD 39,,KUVI-DT 45 (Justice)KBTF-CD 31 (UniMÃ¡s)KZKC-LP 42 (Azteca)K08MM-D (3ABN)K24GS (3ABN)KCBT-LD 34 (Estrella TV)
126,Santa Barbara-Santa Maria-San Luis Obispo,California,"San Luis Obispo, Santa Barbara","195,870 (0.183%)",KEYT-TV 3,"KCOY-TV 12/
KSBB-CD 17",KSBY 6,KKFX-CD 24/KCOY-DT 12.2,KSBY-DT2 6.2,KEYT-TV 3.2,KBAB-LD 50,,KTAS 33,KPMR 38,,
127,Wilmington,North Carolina,"Bladen, Brunswick, Columbus, New Hanover, Pender","189,830 (0.177%)",WWAY 3,WWAY-DT2 3.2,WECT 6,WSFX-TV 26,WWAY-DT3 3.3,,WUNJ-TV 39,,,,,
128,Corpus Christi,Texas,"Aransas, Bee, Brooks, Duval, Jim Hogg, Jim Wells, Kenedy, Kleberg, Live Oak, Nueces, Refugio, San Patricio","188,210 (0.176%)",KIII 3,KZTV 10,KRIS-TV 6,KSCC 38,KRIS-DT2 6.2,KSCC 38.3,KEDT 16,,K47DF-D,KORO 28,K22JA-D 47,
129,La Crosse-Eau Claire,Wisconsin,"Wisconsin: Buffalo, Chippewa, Clark, Crawford, Eau Claire, Jackson, La Crosse, Monroe, Rusk, Trempealeau, Vernon
Minnesota: Houston, Winona","185,920 (0.174%)",WQOW 18WXOW 19,WKBT-DT 8,WEAU 13,"WLAX 25/
WEUX 48",WQOW-DT2 18.2WXOW-DT2 19.2,WKBT-DT 8.2,WHLA-TV 31,WKBT-DT 8.3,,,,
130,"Columbus, GA",Georgia,"Georgia: Chattahoochee, Clay, Harris, Marion, Muscogee, Quitman, Randolph, Schley, Stewart, Sumter, Talbot, Taylor, Webster
Alabama: Barbour, Chambers, Lee, Russell","183,620 (0.172%)",WTVM 9,WRBL 3,WLTZ 38,WXTX 54,WLTZ-DT2 38.2,WLTZ 38.3,WJSP-TV 28,WRBL 3.3,,,,
131,Chico-Redding,California,"Butte, Glenn, Shasta, Tehama, Trinity","171,710 (0.16%)",KRCR-TV 7,KHSL-TV 12,KNVN 24,KCVU 20,KHSL-DT2 12.2,"KRVU-LD 21/
KZVU-LD 22",KIXE-TV 9,KHSL-TV 12.5,KNVN 24.2,KUCO-LD 27,,KKTF-LD 30 (UniMÃ¡s)KXVU-LD 17 (Antenna TV)K15HV-D (3ABN)
132,Amarillo,Texas,"Texas: Armstrong, Briscoe, Carson, Castro, Childress, Collingsworth, Cottle, Dallam, Deaf Smith, Donley, Gray, Hall, Hansford, Hartley, Hemphill, Hutchinson, Lipscomb, Moore, Ochiltree, Oldham, Parmer, Potter, Randall, Roberts, Sherman, Swisher, Wheeler
New Mexico: Curry, Quay, Roosevelt, Union
Oklahoma: Beaver, Cimarron, Texas
Kansas: Morton","162,010 (0.151%)","KVII-TV 7/
KVIH-TV 12",KFDA-TV 10,KAMR-TV 4,KCIT 14,"KVII-DT2 7.2/
KVIH-DT2 12.2",KCPN-LP 33,KACV-TV 2,KEYU 31.3,KEYU 31,,,KLKW-LD 22 (Estrella TV)K17HI-D (3ABN)
133,Columbus-Tupelo-West Point-Houston,Mississippi,"Mississippi: Calhoun, Chickasaw, Choctaw, Clay, Itawamba, Lee, Lowndes, Monroe, Montgomery, Noxubee, Oktibbeha, Pontotoc, Prentiss, Tishomingo, Union, Webster, Winston, Yalobusha
Alabama: Lamar","161,740 (0.151%)",WTVA-DT2 9.2,WCBI-TV 4,WTVA 9,WLOV 27,WCBI-DT3 4.3,WCBI-DT2 4.2,WMAB-TV 2,,,,,
134,Wausau-Rhinelander,Wisconsin,"Adams, Forest, Langlade, Lincoln, Marathon, Oneida, Portage, Price, Taylor, Vilas, Wood","158,720 (0.148%)","WAOW 9/WYOW 34/
WMOW 4.2",WSAW-TV 7,WJFW-TV 12,WZAW-LD 33/WSAW-DT3 7.3,"WMOW 4/
WAOW-DT2 9.2/WYOW-DT 34.2",WSAW-TV 7.2,WHRM-TV 20,WTPX-TV 46,,,,
135,Medford-Klamath Falls,Oregon,"Oregon: Curry, Jackson, Josephine, Klamath, Lake
California: Modoc, Siskiyou","155,130 (0.145%)","KDRV 12/
KDKF 31",KTVL 10,"KOBI 5/
KOTI 2",KMVU-DT 26,KTVL-DT2 10.2,KFBI-LD 48,KSYS 8,KMVU-DT 26.3,KFBI-LD 48.2,,,KMCW-LD 14 (Sonlife)
136,Salisbury,Maryland,"Maryland: Somerset, Wicomico, Worcester
Delaware: Sussex","154,900 (0.145%)","WMDT 47/
WEVD-LD 47",WBOC-TV 16,WRDE-LD 31,WBOC-DT2 21.2,WMDT-DT2 47.2,WRDE-LD 31.2,WCPB 28,WMDT 47.4,WBOC-LD 42,,,WGDV-LD 32 (Azteca AmÃ©rica)
137,Columbia-Jefferson City,Missouri,"Audrain, Boone, Callaway, Chariton, Cole, Cooper, Howard, Maries, Miller, Moniteau, Montgomery, Morgan, Osage, Randolph","154,210 (0.144%)",KMIZ 17,KRCG 13,KOMU-TV 8,KQFX-LD 22/KMIZ-DT4 17.4,KOMU-DT3 8.3,KMIZ 17.3,KMOS-TV 6,,,,,
138,Rockford,Illinois,"Boone, Lee, Ogle, Stephenson, Winnebago","152,400 (0.142%)",WTVO 17,WIFR-LD 23,WREX 13,WQRF-TV 39,WREX-DT2 13.2,WTVO 17.2,,WIFR-LD 23.4,WFBN-LD 33,,,
139,"Duluth-Superior, WI",Minnesota,"Minnesota: Aitkin, Carlton, Cook, Itasca, Koochiching, Lake, St. Louis
Wisconsin: Ashland, Bayfield, Douglas, Iron, Sawyer, Washburn
Michigan: Gogebic","150,930 (0.141%)","WDIO-DT 10/
WIRT-DT 13","KBJR-DT2 6.2/
KRII-DT2 11.2","KBJR-TV 6/
KRII 11",KQDS-TV 21,KDLH 3,KBJR-TV 6.3/KRII 11.3,WDSE 8,WDIO-DT 10.3/WIRT-DT 13.3,,,,K48NP-D (3ABN)K38MM-D (3ABN)
140,Monroe-El Dorado,Louisiana,"Louisiana: Caldwell, Catahoula, Concordia, East Carroll, Franklin, Jackson, La Salle, Lincoln, Madison, Morehouse, Ouachita, Richland, Tensas, Union, West Carroll, Winn
Arkansas: Ashley, Union","148,210 (0.139%)",KNOE-DT2 8.2,KNOE-TV 8,KTVE 10,KARD 14,KWCL-LD 40/KNOE-DT3 8.3,KWCL-LD 40/KNOE-DT3 8.3,KLTM-TV 13KETZ 12,KMCT-TV 39.2,,,,
141,Palm Springs,California,Riverside (Coachella Valley),"147,650 (0.138%)",KESQ-TV 42,KPSP-CD 38/KESQ-DT2 42.2,KMIR-TV 36,KDFX-CD 33/KESQ-DT4 42.4,"KCWQ-LD 2/
KESQ-DT8 42.8",KPSE-LD 50,KODG-LD 17,,KUNA-LP 15,KVER-CD 41,,KRET-CD 45 (H&I)K21DO-D (3ABN)
142,Lubbock,Texas,"Bailey, Borden, Cochran, Crosby, Dawson, Dickens, Floyd, Gaines, Garza, Hale, Hockley, Kent, Lamb, Lubbock, Lynn, Motley, Terry, Yoakum","143,380 (0.134%)",KAMC 28,KLBK-TV 13,KCBD 11,KJTV-TV 34,KLCW-TV 22,KMYL-LD 14,KTTZ-TV 5,KJTV-TV 34.3,KXTQ-CD 46,KBZO-LD 51,KJTV-CD 32,KLBB-LP 48 (MeTV)KABI-LD 42 (Heroes & Icons)KNKC-LD 29 (Estrella TV)K14PZ-D (3ABN)
143,Beaumont-Port Arthur,Texas,"Hardin, Jasper, Jefferson, Newton, Orange, Tyler","143,130 (0.134%)",KBMT 12,KFDM 6,KBMT-DT2 12.2,KBTV-TV 4,KFDM-DT2 6.2,KBMT-LD 64,,,,,,
144,Topeka,Kansas,"Brown, Clay, Cloud, Coffey, Geary, Jackson, Jefferson, Lyon, Marshall, Morris, Nemaha, Osage, Pottawatomie, Riley, Shawnee, Wabaunsee, Washington","142,240 (0.133%)",KTKA-TV 49,WIBW-TV 13,KSNT 27,"KTMJ-CD 43/
KTLJ-CA 6/
KSNT-DT2 27.2",KTKA-DT3 49.3,WIBW-TV 13.2,KTWU 11,KSNT 27.3,,,,
145,Odessa-Midland,Texas,"Texas: Andrews, Brewster, Crane, Ector, Glasscock, Howard, Jeff Davis, Loving, Martin, Midland, Pecos, Presidio, Reagan, Reeves, Terrell, Upton, Ward, Winkler
New Mexico: Lea (southern third)","141,600 (0.132%)",KMID 2,KOSA-TV 7,KWES-TV 9,KPEJ-TV 24,"KCWO-TV 4/
KOSA-DT 7.2",KTLE-LD 7.6,KPBT-TV 36,KOSA-TV 7.4,KTLE-LD 7.5,KUPB 18,,
