Rank,Market,State,Counties  (or county-equivalents)  covered,TV households (2019â€“20),Local ABC affiliate,Local CBS affiliate,Local NBC affiliate,Local Fox affiliate,Local CW affiliate,Local MyNetworkTV affiliate,Local PBS member station,Local Ion Television affiliate,Local Telemundo affiliate,Local Univision affiliate,Local Independent stations,Other significant television stations
146,Minot-Bismarck-Dickinson (Williston),North Dakota,"North Dakota: Adams, Billings, Bottineau, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Renville, Rolette, Sheridan, Sioux, Slope, Stark, Ward, Wells, Williams
Montana: Daniels, McCone, Richland, Roosevelt, Sheridan, Wibaux
South Dakota: Campbell, Corson, Dewey, Perkins","136,930 (0.128%)","KBMY 17/
KMCY 14",KXMB-TV 12 KXMC-TV 13KXMD-TV 11,KFYR-TV 5KMOT 10KQCD-TV 7KUMV-TV 8,KFYR-DT2 5.2KMOT-DT2 10.2KQCD-DT2 7.2KUMV-DT2 8.2,KXMA-TV 2,KBMY 17.3/KMCY 14.3,KBME-TV 3,,,,,
147,Wichita Falls & Lawton,Texas,"Texas: Archer, Baylor, Clay, Foard, Hardeman, King, Knox, Throckmorton, Wichita, Wilbarger, Young
Oklahoma: Comanche, Cotton, Jackson, Jefferson, Stephens, Tillman","132,830 (0.124%)",KSWO-TV 7,KAUZ-TV 6,KFDX-TV 3,KJTL 18,KAUZ-DT2 6.2,KJBO-LP 35,K26NK-D 13K36AB 36,KAUZ-TV 6.3,KSWO-TV 7.2,,,
148,Sioux City,Iowa,"Iowa: Buena Vista, Cherokee, Clay, Dickinson, Ida, Monona, O'Brien, Palo Alto, Plymouth, Sac, Sioux, Woodbury
Nebraska: Cedar, Dakota, Dixon, Knox, Madison, Pierce, Stanton, Thurston, Wayne
South Dakota: Union","131,210 (0.123%)",KCAU-TV 9,KMEG 14,KTIV 4,KPTH 44,KTIV-DT2 4.2,KPTH 44.2,KSIN-TV 27,,KBWF-LD 15.2,,,
149,Panama City,Florida,"Bay, Calhoun, Franklin, Gulf, Holmes, Jackson, Liberty, Walton, Washington","130,350 (0.122%)",WMBB 13,"WECP-LD 18/
WJHG-DT3 7.3",WJHG-TV 7,WPGX 28,WJHG-DT2 7.2,WECP-LD 18.2,WFSG 56,,,,,
150,Rochester-Mason City-Austin,Minnesota,"Minnesota: Dodge, Fillmore, Freeborn, Mower, Olmsted
Iowa: Cerro Gordo, Floyd, Hancock, Howard, Mitchell, Winnebago, Worth","129,600 (0.121%)",KAAL 6,KIMT 3,KTTC 10,KXLT-TV 47,KTTC-DT2 10.2,KIMT 3.2,KSMQ-TV 15KYIN 24,KIMT 3.3,,,,K25NK-D (3ABN)W39DD-D (3ABN)K43JE-D (3ABN)K48KJ-D (3ABN)
151,Anchorage,Alaska,"Aleutians East, Aleutians West, Anchorage, Bethel, Bristol Bay, Dillingham, Kenai Peninsula, Kodiak Island, Kusilvak, Lake and Peninsula, Matanuska-Susitna, Nome, North Slope, Northwest Arctic, Valdez-Cordova","125,510 (0.117%)",KYUR 13,KTVA 11,KTUU-TV 2,KTBY 4,KYUR-DT2 13.2,KYES-TV 5,KAKM 7,KDMD 33,KDMD 33.2,,,
152,Erie,Pennsylvania,"Crawford, Erie, Warren","125,340 (0.117%)",WJET-TV 24,WSEE-TV 35,WICU-TV 12,WFXP 66,WSEE-DT2 35.2,,WQLN 54,WICU-TV 12.3,,,,
153,Joplin-Pittsburg,Missouri,"Missouri: Barton, Jasper, McDonald, Newton, Vernon
Kansas: Allen, Bourbon, Cherokee, Crawford, Labette, Neosho, Wilson, Woodson
Oklahoma: Ottawa","121,260 (0.113%)",KODE-TV 12,KOAM-TV 7,KSNF 16,KFJX 14,KFJX-DT2 14.2,KPJO-LD 49,KOZJ 26,"KODE-TV 12.4
KCLG-LD 32",,,,
154,"Albany, GA",Georgia,"Atkinson, Baker, Ben Hill, Berrien, Calhoun, Coffee, Colquitt, Cook, Crisp, Dougherty, Irwin, Lee, Mitchell, Terrell, Tift, Turner, Worth","120,240 (0.112%)",WALB-DT2 10.2,WSWG 44,WALB 10,WFXL 31,WGCW-LD 36/WALB-DT4 10.4,WSST 55/WSWG 44.3,WABW-TV 14,,,,,
155,Biloxi-Gulfport,Mississippi,"George, Harrison, Jackson, Stone","116,300 (0.109%)",WLOX 13,WLOX-DT2 13.2,WXXV-DT2 25.2,WXXV-TV 25,WXXV-DT3 25.3,WXXV-TV 25,WMAH-TV 19,,,,,
156,Gainesville,Florida,"Alachua, Dixie, Gilchrist, Levy","114,400 (0.107%)",WCJB-TV 20,WGFL 28,WNBW-DT 9,WOGX 51,WCJB-DT2 20.2,WGFL-DT2 28.2,WUFT 5,,,,,WYME-CD 45 (MeTV)
157,"Wheeling-Steubenville, OH",West Virginia,"West Virginia: Brooke, Hancock, Marshall, Ohio, Tyler, Wetzel
Ohio: Belmont, Guernsey, Harrison, Jefferson, Monroe, Noble","114,140 (0.107%)",WTRF-DT3 7.3,WTRF-TV 7,WTOV-TV 9 (Fox on DT2),WTOV-DT2 9.2,"""WBWO""",WTRF-TV 7.2,W30CO-D 24,,,,,
158,Sherman-Ada,Texas,"Texas: Grayson
Oklahoma: Atoka, Bryan, Carter, Choctaw, Coal, Johnston, Love, Marshall, Pontotoc, Pushmataha","112,160 (0.105%)",KTEN-DT3 10.3,"KXII 12/
KXIP-LD 12",KTEN 10,KXII-DT3 12.3,KTEN-DT2 10.2,"KXII 12.2/
KXIP-LD 12.2/K31LQ-D 31",K36KE 36,"KXII 12.4/
KXIP-LD 12.4",,,,
159,Bangor,Maine,"Hancock, Penobscot, Piscataquis, Somerset, Waldo, Washington","111,070 (0.104%)",WVII-TV 7,WABI-TV 5,"WLBZ-TV 2/
WGCI-LD 2",WFVX-LD 22/WVII-DT2 7.2,WABI-DT2 5.2,WFVX-LD 22/WVII-DT2 7.2,WMEB-TV 12,WLBZ 2.3,,,,
160,Terre Haute,Indiana,"Indiana: Clay, Daviess, Greene, Knox, Martin, Parke, Sullivan, Vermillion, Vigo
Illinois: Clark, Clay, Crawford, Edgar, Jasper, Lawrence, Richland","110,480 (0.103%)",WAWV-TV 38,WTHI-TV 10,WTWO 2,WTHI-DT2 10.2,WTHI-DT3 10.3,WTHI-DT2 10.2,WVUT 22,WTHI-TV 10.3,,,,
161,Binghamton,New York,"Broome, Chenango, Delaware, Tioga","106,510 (0.1%)",WIVT 34,WBNG-TV 12,WBGH-CD 20/WIVT-DT2 34.2,WICZ-TV 40,WBNG-DT2 12.2,WBPN-LP 10,WSKG-TV 46,WICZ-TV 40.3,,,,
162,Idaho Falls-Pocatello (Jackson),Idaho,"Idaho: Bannock, Bingham, Bonneville, Butte, Caribou, Clark, Custer, Fremont, Jefferson, Lemhi, Madison, Power, Teton
Wyoming: Lincoln, Teton","101,030 (0.094%)",KIFI-TV 8,KIDK 3,KPVI-DT 6,KXPI-LD 24/KIDK-DT2 3.2,KIFI-DT3 8.3,"KXPI-LD 24/
KIDK-DT2 3.2",KISU 10,,KIFI-TV 8.2,,,KVUI 31 (MeTV)
163,Missoula,Montana,"Flathead, Granite, Lake, Mineral, Missoula, Ravalli, Sanders","100,830 (0.094%)","KTMF 23/
KTMF-LD 42","KPAX-TV 8/
KAJJ-CD 18","KECI-TV 13/
KCFW-TV 9","KTMF-DT2 23.2/
KTMF-LD2 42.2","KPAX-DT2 8.2/
KAJJ-CD2 18.2","KTMF-DT2 23.2/
KTMF-LD2 42.2",KUFM-TV 11,,,,,
164,Abilene-Sweetwater,Texas,"Brown, Callahan, Coleman, Eastland, Fisher, Haskell, Jones, Mitchell, Nolan, Runnels, Scurry, Shackelford, Stephens, Stonewall, Taylor","100,790 (0.094%)",KTXS-TV 12,KTAB-TV 32,KRBC-TV 9,KXVA 15,KTXS-DT2 12.2,KXVA 15.2,KTES-LD 40,,KTAB-TV 32.2,,,
165,"Yuma-El Centro, CA",Arizona,"Arizona: Yuma
California: Imperial","99,710 (0.093%)",KECY-DT2 9.2,KYMA-DT 13,KYMA-DT2 13.2,KECY-TV 9,KECY-DT3 9.3,KECY-TV 9,K19CX 8,KYMA-DT 13.4,KESE-LP 35,KVYE-TV 7,,K39KW-D (3ABN)
166,Bluefield-Beckley-Oak Hill,West Virginia,"West Virginia: Fayette, Greenbrier, McDowell, Mercer, Monroe, Raleigh, Summers, Wyoming
Virginia: Bland, Tazewell","98,530 (0.092%)",WOAY-TV 4,WVNS-TV 59,WVVA 6 (CW on DT2),WVNS-DT2 59.2,WVVA-DT2 6.2,WVNS-DT2 59.2,WSWP-TV 9,,,,,
167,Hattiesburg-Laurel,Mississippi,"Covington, Forrest, Jasper, Jones, Lamar, Marion, Perry, Wayne","96,000 (0.09%)",WDAM-DT2 7.2,WHLT 22,WDAM-TV 7,WHPM-LD 23,WHLT-DT2 22.2,WHPM-LD 23.3,W45AA-D 17,WHLT 22.3,,,,
168,Billings,Montana,"Montana: Big Horn, Carbon, Custer, Garfield, Golden Valley, Meagher, Musselshell, Park, Petroleum, Powder River, Rosebud, Stillwater, Sweet Grass, Treasure, Wheatland, Yellowstone
Wyoming: Big Horn, Park","91,950 (0.086%)",KSVI 6,KTVQ 2,"KULR-TV 8/
KYUS-TV 3",KHMT 4,KTVQ-DT2 2.2,,KBGS-TV 16,,,,,
169,Rapid City,South Dakota,"South Dakota: Bennett, Butte, Custer, Fall River, Haakon, Harding, Jackson, Lawrence, Meade, Oglala Lakota, Pennington, Ziebach
Nebraska: Banner, Grant, Morrill, Sheridan, Sioux
Wyoming: Crook, Sheridan, Weston
Montana: Carter","86,610 (0.081%)","KOTA-TV 3/
KHSD-TV 11",KCLO-TV 15,KNBN 21,KEVN-LD 7/KHSD-DT 11.2,KCLO-DT2 15.2,KWBH-LP 27,KBHE-TV 9,KCLO-TV 15.3,,,,
170,Lake Charles,Louisiana,"Allen, Beauregard, Calcasieu, Cameron","85,970 (0.08%)",KVHP-DT2 29.2,KSWL-LD 17/KWWE-LD2 19.2,KPLC 7,KVHP 29,KPLC-DT2 7.2,KWWE-LD 19,KLTL-TV 18,KVHP 29.4,,,,
171,Dothan,Alabama,"Alabama: Coffee, Dale, Geneva, Henry, Houston
Georgia: Early, Seminole","85,140 (0.08%)",WDHN 18,WTVY 4,WRGX-LD 23/WTVY-DT4 4.4,WDFX-TV 34,WTVY-DT3 4.3,WTVY 4.2,WDIQ 2,,,,,
172,Utica,New York,"Herkimer, Oneida (eastern 20%), Otsego","84,750 (0.079%)",WUTR 20,WKTV-DT2 2.2,WKTV 2,WFXV 33,WKTV-DT3 2.3,WPNY-LP 11,W22DO-D 24,,,,,
173,Clarksburg-Weston,West Virginia,"Barbour, Doddridge, Gilmer, Harrison, Lewis, Marion, Randolph, Ritchie, Taylor, Tucker, Upshur, Webster","84,680 (0.079%)",WBOY-DT2 12.2,WDTV 5,WBOY-TV 12,WVFX 10,WVFX-DT2 10.2,,WNPB-TV 24,,,,,
174,Quincy-Hannibal-Keokuk,Illinois,"Illinois: Adams, Brown, Cass, Hancock, McDonough, Pike, Schuyler, Scott
Missouri: Clark, Knox, Lewis, Marion, Monroe, Ralls, Scotland, Shelby
Iowa: Lee","84,040 (0.079%)",KHQA-DT2 7.2,KHQA-TV 7,WGEM-TV 10,WGEM-DT3 10.3,WGEM-DT2 10.2,,WQEC 27,,,,,W18CJ (3ABN)
175,Harrisonburg,Virginia,"Virginia: Augusta, Harrisonburg (city),[3]Rockingham, Staunton (city),[3]Waynesboro (city)[3]
West Virginia: Pendleton","84,030 (0.079%)",WHSV-TV 3,"WSVF-CD2 43.2/
WHSV-DT2 3.2",WSVW-LD 30,WSVF-CD 43,WSVW-LD2 30.2,WHSV-TV 3.4,WVPT 51,,,,,
176,"Jackson, TN",Tennessee,"Carroll, Hardin, Henderson, Madison","78,940 (0.074%)",WBBJ-TV 7,WBBJ-DT3 7.3,WNBJ-LD 39,WJKT 16,WNBJ-LD2 39.2,WNBJ-LD 39.3,WLJT-DT 11,,,,,
177,Bowling Green,Kentucky,"Adair, Barren, Butler, Cumberland, Edmonson, Hart, Metcalfe, Warren","72,620 (0.068%)",WBKO 13,WNKY-DT2 40.2,WNKY 40,WBKO-DT2 13.2,WBKO-DT3 13.3,WDNZ-LD 11,WKYU-TV 24WKGB-TV 53,,,,,
178,"Alexandria, LA",Louisiana,"Avoyelles, Grant, Rapides, Vernon","72,530 (0.068%)",KLAX-TV 31,KALB-DT2 5.2,KALB-TV 5,WNTZ-TV 48,KALB-DT3 5.3,WNTZ-TV 48,KLPA-TV 25,KLAX-TV 31.3,,,,KWCE-LP 27 (MeTV)
179,Elmira (Corning),New York,"New York: Chemung, Schuyler, Steuben
Pennsylvania: Tioga","72,530 (0.068%)",WENY-TV 36,WENY-DT2 36.2,WETM-TV 18,WYDC 48,WENY-DT3 36.3,WJKP-LD 39,WSKA-TV 30,WENY-TV 36.4,,,,W28DO-D (3ABN)
180,Marquette,Michigan,"Michigan: Alger, Baraga, Delta, Dickinson, Houghton, Iron, Keweenaw, Marquette, Ontonagon, Schoolcraft
Wisconsin: Florence","71,920 (0.067%)","WBUP 10/
WBKP-DT 5.2",WJMN-TV 3,WLUC-TV 6,WLUC-DT2 6.2,"WBKP 5/
WBUP-DT 10.2",WZMQ 19.2,WNMU 13,,,,,WZMQ 19 (MeTV)
181,Watertown,New York,"Jefferson, Lewis, St. Lawrence","71,180 (0.067%)",WWTI 50,WWNY-TV 7,WVNC-LD 45,"WNYF-CD 28/
WWNY-CD 28/
WWNY-DT2 7.2",WWTI-DT2 50.2,WVNC-LD 45.2,WPBS-DT 16,,,,,
182,Charlottesville,Virginia,"Albemarle, Charlottesville (city),[3]Greene, Madison","70,490 (0.066%)",WVAW-LD 16,WCAV 19,WVIR-TV 29,WCAV-DT2 19.2,WVIR-DT3 29.3,,WHTJ 41,WCAV 19.4,,,,
183,Jonesboro,Arkansas,"Clay, Craighead, Greene, Izard, Lawrence, Randolph, Sharp","69,470 (0.065%)",KAIT 8,"KJNB-LD2 39.2/
KJNE-LD2 39.2",KAIT-DT2 8.2,KJNB-LD 39/KJNE-LD 39,KAIT-DT3 8.3,KJNB-LD 39.3/KJNE-LD 39.3,KTEJ 19,,,,,
184,Laredo,Texas,"Webb, Zapata","65,330 (0.061%)",KGNS-DT2 8.2,KYLX-LD 13,KGNS-TV 8,KXOF-CD 31,KYLX-LD2 13.2,KXOF-CD 31,,,KGNS-TV 8.3,KLDO-TV 27,,"KXOF-CD 31 (UniMÃ¡s)
XHLNA-TDT 1 (A1)
XHLAR-TDT 2 (Las Estrellas)
XHCTNL-TDT 3 (Imagen)
XHBR-TDT 4 (Televisa)
XHBR-TDT 5 (Canal 5)
XHNAT-TDT 6 (Multimedios)
XHLAT-TDT 7 (A7)
XEFE-TDT 17 (Televisa Regional)
XHNAN-TDT 28 (Canal 28)"
185,"Bend, OR",Oregon,Deschutes,"63,720 (0.06%)",KOHD 51,KBNZ-LD 7,KTVZ 21,KFXO-CD 39/KTVZ-DT3 21.3,KTVZ-DT2 21.2,KUBN-LD 50,KOAB-TV 3,,KQRE-LP 19,KABH-CA 15,,
186,Butte-Bozeman,Montana,"Beaverhead, Broadwater, Deer Lodge, Gallatin, Jefferson, Madison, Powell, Silver Bow","63,320 (0.059%)","KWYB 18/
KWYB-LD 28","KXLF-TV 4/
KBZK 7","KTVM 6/
KDBZ-CD 6","KWYB-DT2 18.2/
KWYB-LD2 28.2","KXLF-DT2 4.2/
KBZK-DT2 7.2","KWYB-DT2 18.2/
KWYB-LD2 28.2",KUSM 9,,,,,
187,"Lafayette, IN",Indiana,"Tippecanoe, Warren","61,520 (0.057%)",WPBY-LD 35,WLFI-TV 18,WPBI-LD2 16.2,WPBI-LD 16,WLFI-DT2 18.2,WPBY-LD 35.2,,WLFI-TV 18.3,,,,
188,Grand Junction-Montrose,Colorado,"Dolores, Mesa, Montrose","61,390 (0.057%)",KJCT-LP 8,"KREX-TV 5/
KREY-TV 10",KKCO 11,KFQX 4,KJCT-LP2 8.2,KGJT-CD 27,KRMJ 18,,KKCO 11.3,,,
189,Lima,Ohio,Allen,"56,850 (0.053%)","WOHL-CD 35/
WPNM-LP 25","WAMS-LP 38/
WOHL-CD2 35.2",WLIO 8,WLIO-DT2 8.2,"Served by WBDT 26 Springfield/Dayton, WTVG-DT2 13.2 Toledo, and WISE-TV 33 Fort Wayne, IN",WLIO-DT2 8.2,WBGU-TV 27,,,,,W23DE-D (3ABN)
190,Meridian,Mississippi,"Mississippi: Clarke, Kemper, Lauderdale, Neshoba, Newton
Alabama: Choctaw, Sumter","56,790 (0.053%)",WTOK-TV 11,WMDN 24,WGBC-DT2 30.2,WGBC 30,WTOK-DT3 11.3,WTOK-DT2 11.2,WMAW-TV 14,,,,,
191,Twin Falls,Idaho,"Blaine, Cassia, Gooding, Jerome, Lincoln, Minidoka, Twin Falls","55,050 (0.051%)",KSAW-LD 51,KMVT 11,KTFT-LD 7,KSVT-LD 14/KMVT-DT3 11.3,KMVT-DT2 11.2,KSVT-LD 14/KMVT-DT3 11.3,KIPT 13,,,,,K36KU-D (3ABN)
192,Great Falls,Montana,"Blaine, Cascade, Chouteau, Fergus, Glacier, Hill, Judith Basin, Liberty, Phillips, Pondera, Teton, Toole, Valley","53,210 (0.05%)",KFBB-TV 5,KRTV 3,KTGF-LD 50,KFBB-DT2 5.2,KRTV-DT2 3.2,KFBB-DT2 5.2,KUGF-TV 21,,,,,
193,Parkersburg,West Virginia,"West Virginia: Pleasants, Wood
Ohio: Washington","51,240 (0.048%)","Served by WCHS 8 Charleston, WSYX 6 Columbus, OH, and WBOY-DT2 12.2 Clarksburg",WIYE-LD 47/WTAP-DT2 15.2,WTAP-TV 15,WOVA-LD 22/WTAP-DT3 15.3,WOVA-LD2 22.2,WIYE-LD 47.2,WOUB-TV 20,,,,,
194,Greenwood-Greenville,Mississippi,"Mississippi: Bolivar, Carroll, Grenada, Leflore, Sunflower, Tallahatchie, Washington
Arkansas: Chicot","50,270 (0.047%)",WABG-TV 6,WXVT-LD 17,WNBD-LD 33,WABG-DT2 6.2,"""Piedmont CW""",WHCQ-LD 8,WMAO-TV 23,WFXW 15,,,,
195,San Angelo,Texas,"Coke, Concho, Crockett, Irion, Kimble, McCulloch, Menard, Schleicher, Sterling, Sutton, Tom Green","50,220 (0.047%)",KTXE-LD 12,KLST 8,KSAN-TV 3,KIDY 6,KTXE-LD2 12.2,KIDY 6.2,KANG-LP 31/KUES-LP 41,,,,,
196,"Cheyenne-Scottsbluff, NE",Wyoming,"Wyoming: Goshen, Laramie
Nebraska: Scotts Bluff","48,930 (0.046%)","KNEP-DT2 4 (satellite of KOTA-TV, Rapid City, SD)KKTQ-LD 16/KLWY-DT2 27.2","KGWN-TV 5/
KSTF 10","KCHY-LP 13/
KWYM-LP 13KNEP 2/
KGWN-DT2 5.2",KLWY 27,"KGWN-DT3 5.3/
KSTF-DT3 10.3",KLWY 27.3,KWYP-TV 8,,,,,
197,Eureka,California,"Del Norte, Humboldt","47,550 (0.044%)",KAEF-TV 23,KVIQ-LD 14,KIEM-TV 3,KBVU 28,KECA-LD 29,KECA-LD 29.2,KEET 13,,,KEUV-LP 31,,K41LQ-D (3ABN)K39EO-D (3ABN)
198,Mankato,Minnesota,"Minnesota: Blue Earth, Brown, Martin, Watonwan
Iowa: Emmet","46,920 (0.044%)","K30FN 5(translator of KSTP-TV, St. Paul/Minneapolis)",KEYC-TV 12,KMNF-LD 7,KEYC-DT2 12.2,KMNF-LD2 7.2,"K23MF 29(translator of WFTC, Minneapolis)/St. Paul",K26CS 2K29IE 2.3,,,,,K43JE-D (3ABN)
199,Casper-Riverton,Wyoming,"Converse, Fremont, Hot Springs, Johnson, Natrona, Washakie","43,760 (0.041%)",KTWO-TV 2,"KGWC-TV 14/
KGWL-TV 5/
KGWR-TV 13","KCWY-DT 13/
KSWY-LP 29","KFNB 20/
KFNE 10/
KFNR 11","KCWY-DT2 13.2/
KSWY-LP2 29.2",KWYF-LD 27,KPTW 6,,,,,
200,St. Joseph,Missouri,"Missouri: Andrew, Buchanan, DeKalb, Holt, Nodaway, Worth
Kansas: Doniphan","38,780 (0.036%)",KQTV 2,KCJO-LD 30,KNPG-LD 21,KNPN-LD 26,KNPG-LD2 21.2,,,,KNPG-LD 21.3,,,KTAJ-TV 16 (TBN)
201,Ottumwa-Kirksville,Iowa,"Iowa: Davis, Jefferson, Van Buren, Wapello
Missouri: Adair, Macon, Putnam, Schuyler, Sullivan","37,440 (0.035%)",KTVO 3,KTVO-DT2 3.2,KYOU-DT2 15.2,KYOU-TV 15,KYOU-DT4 15.4,,K18GU 12,,,,,
202,Victoria,Texas,Victoria,"28,500 (0.027%)",KAVU-TV 25,KXTS-LD 41/KAVU-DT2 25.2,KMOL-LD 17/KAVU-DT3 25.3,KVCT 19,KVCT-DT3 19.3,,,KAVU-TV 25.5,KVTX-LP 45,KUNU-LD 21,,
203,Fairbanks,Alaska,"Denali, Fairbanks North Star, Southeast Fairbanks, Yukon-Koyukuk","27,970 (0.026%)",KATN 2,KXDF-CD 13/KTVF-DT3 11.3,KTVF 11,KATN-DT2 2.2,KATN-DT3 2.3,KFXF-LD 22,KUAC-TV 9,,,,,
204,Zanesville,Ohio,Muskingum,"27,650 (0.026%)",Served by WSYX 6 Columbus,"Served by WBNS 10 Columbus and WIYE-LD 47 Parkersburg, WV",WHIZ-TV 18,"Served by WTTE 28 Columbus and WOVA-LD 22 Parkersburg, WV","""Zanesville CW 13""",,WOUC 44,,,,,
205,Helena,Montana,Lewis and Clark,"25,720 (0.024%)",KHBB-LD 21,KXLH-LD 9,KTVH-DT 12,KHBB-LD2 21.2,KTVH-DT2 12.2,KHBB-LD2 21.2,KUHM-TV 10,,,,,
206,Presque Isle,Maine,Aroostook,"22,340 (0.021%)",Served by WVII 7 Bangor,WAGM-TV 8,WWPI-LD 16,WAGM-DT2 8.2,WAGM-DT3 8.3,,WMEM 10,,,,,
207,Juneau,Alaska,"Haines, Hoonah-Angoon, Juneau, Ketchikan Gateway, Petersburg, Prince of Wales-Hyder, Sitka, Skagway, Wrangell, Yakutat","18,730 (0.017%)",KJUD 8,KXLJ-LD 24/KUBD 4/KTNL-TV 13,"KATH-LD 5/
KSCT-LP 5",KJUD-DT2 8.2,KJUD-DT3 8.3,KCBJ-LP 15,KTOO-TV 3,,,,,
208,Alpena,Michigan,"Alcona, Alpena","14,280 (0.013%)",WBKB-DT3 11.3,WBKB-TV 11,Served by WPBN/WTOM 7/4 Traverse City/Cheboygan,WBKB-DT2 11.2,"""Alpena CW""",WBKB-DT2 11.2,WCML-TV 6,,,,,
209,North Platte,Nebraska,"Arthur, Blaine, Hooker, Lincoln, Logan, McPherson, Thomas","12,010 (0.011%)",KHGI-CD 27,KNPL-LD 10,KNOP-TV 2,KIIT-CD 11,KIIT-CD2 11.2/KNOP-DT2 2.2,KNPL-LD 10.2,KPNE-TV 9,KNOP-TV 2.3,,,,
210,Glendive,Montana,"Dawson, Fallon, Prairie","3,630 (0.003%)",Served by KSVI 6 Billings,KXGN-TV 5,KXGN-DT2 5.2,Served by KHMT 4 Hardin/Billings,Served by KBZK-DT2 7.2 Bozeman,,Montana PBS,,,,,
N/A,N/A,American Samoa,"Tutuila, Aunu'u, Ofu-Olosega, Taâ€˜Å«",N/A,"KVZK-4 4, KOMO-TV 4 Seattle, WA","KVZK-4 4, KGMB-TV 5 Honolulu, HI",KVZK-5 5,"Served by KHON 2 Honolulu, HI",,,KVZK-2 2,,,,,
N/A,N/A,Guam,HagÃ¥tÃ±a (village),N/A,KTGM 14,KUAM-DT2 8.2,KUAM-TV 8,KEQI-LP 22/KTGM-DT2 14.2,KTKB-LD 26,,KGTF 12,,,,,
N/A,N/A,Puerto Rico,"Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, AÃ±asco, Arecibo, Arroyo, Barceloneta, Barranquitas, BayamÃ³n, Cabo Rojo, Caguas, Camuy, CanÃ³vanas, Carolina, CataÃ±o, Cayey, Ceiba, Ciales, Cidra, Coamo, ComerÃ­o, Corozal, Culebra, Dorado, Fajardo, Florida, GuÃ¡nica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana DÃ­az, Juncos, Lajas, Lares, Las MarÃ­as, Las Piedras, LoÃ­za, Luquillo, ManatÃ­, Maricao, Maunabo, MayagÃ¼ez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, PeÃ±uelas, Ponce, Quebradillas, RincÃ³n, Rio Grande, Sabana Grande, Salinas, San GermÃ¡n, San Juan, San Lorenzo, San SebastiÃ¡n, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco (all municipalities)",N/A,WRFB 5/WORA-TV 5,"W32DZ-D 32 (translator of WSEE-TV, Erie, PA)","WKAQ-DT3 2.3 (simulcast of WNBC, New York City)",WSJP-LD2 18.2,"W33CY-D 33 (translator of WSEE-DT2, Erie, PA)","TV Red Puerto Rico
W34ED-D 34",WMTJ 40,"TV Red Puerto Rico
W19DV-D 19",WKAQ-TV 2/WTIN-TV 2.11/WNJX 2.12,WLII-DT 11/WSUR-TV 9/WOLE-DT 12,"WAPA-TV 4/
WTIN-TV 4/WNJX-TV 4","TV Red Puerto RicoW17DL-D (MeTV), W42DZ-D (Biz TV), W33CY-D/W17DK-D (Heroes & Icons), W32DV-D (ZUUS Latino), W47DX-D (BYUtv), W19DK-D (Buzzr), W50EC-D (Estrella TV), W18DZ-D (Heartland), W23EM-D (TCT), W47DU-D/W44CV-D (FamilyNet), W15CX-D (Multimedios), W24DW-D (Charge!), W46EO-D (Grit), W48DT-D/W21DD-D/W38EQ-D (YTA), W42DY-D/W40DA-D/W16CW-D (Justice Network), W32DY-D/W45DI-D (Bounce TV), W49DI-D (GEB America), W19DV-D (Movies!), W26DV-D (World), W32DZ-D (Decades), W39DJ-D (Almavision), W46ES-D (Azteca), W50EO-D/W25EE-D/W18DQ-D (ATV), W28DV-D (ASN), W34DY-D (GetTV)WSJP-LD 18 (Cozi TV"
N/A,N/A,U.S. Virgin Islands,"Saint Thomas, Saint John, Saint Croix",N/A,WCVI-DT2 23.2,WCVI-TV 23,WVGN-LD 19,WVXF-DT2 17.2,"Served by WSFL 39 Miami, FL",,WTJX-TV 12,WSVI 8,,,,WVXF 17 (This TV)
